Unnamed: 0,bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
213,8,8416,3,23,21,2,13.0,84.0,2020-04-29 09:15:00
214,8,8417,1,10,8,1,6.0,19.0,2020-04-29 09:15:00
215,8,8421,3,10,3,3,71.0,85.0,2020-04-29 09:15:00
216,8,8425,2,4,2,2,20.0,10.0,2020-04-29 09:15:00
217,8,8426,1,6,5,1,9.0,18.0,2020-04-29 09:15:00
218,8,8435,3,7,1,3,41.0,28.0,2020-04-29 09:15:00
219,8,8436,5,8,7,4,20.0,48.0,2020-04-29 09:15:00
220,8,8437,1,5,4,1,13.0,9.0,2020-04-29 09:15:00
221,9,9161,2,0,0,1,11.0,47.0,2020-04-29 09:15:00
222,9,9162,25,140,102,23,272.0,558.0,2020-04-29 09:15:00
223,9,9163,1,9,5,1,39.0,24.0,2020-04-29 09:15:00
224,9,9171,3,0,0,2,14.0,26.0,2020-04-29 09:15:00
225,9,9172,3,6,6,3,5.0,17.0,2020-04-29 09:15:00
226,9,9173,2,5,3,2,7.0,21.0,2020-04-29 09:15:00
227,9,9174,1,7,7,1,41.0,27.0,2020-04-29 09:15:00
228,9,9175,1,3,3,1,11.0,9.0,2020-04-29 09:15:00
229,9,9176,3,3,2,3,22.0,40.0,2020-04-29 09:15:00
230,9,9177,1,5,5,1,12.0,16.0,2020-04-29 09:15:00
231,9,9178,1,9,4,1,4.0,20.0,2020-04-29 09:15:00
232,9,9179,1,2,1,1,4.0,11.0,2020-04-29 09:15:00
233,9,9180,2,3,1,2,65.0,52.0,2020-04-29 09:15:00
234,9,9182,1,3,3,1,14.0,16.0,2020-04-29 09:15:00
235,9,9183,1,7,7,1,11.0,9.0,2020-04-29 09:15:00
236,9,9184,2,0,0,2,12.0,6.0,2020-04-29 09:15:00
237,9,9185,3,2,2,2,18.0,10.0,2020-04-29 09:15:00
238,9,9186,1,0,0,1,9.0,4.0,2020-04-29 09:15:00
239,9,9187,5,30,22,5,19.0,58.0,2020-04-29 09:15:00
240,9,9188,5,8,6,5,42.0,49.0,2020-04-29 09:15:00
241,9,9189,3,12,9,2,15.0,46.0,2020-04-29 09:15:00
242,9,9190,3,1,1,3,19.0,25.0,2020-04-29 09:15:00
243,9,9261,3,10,3,3,28.0,46.0,2020-04-29 09:15:00
244,9,9262,3,4,1,2,31.0,21.0,2020-04-29 09:15:00
